id,kategooria,alamteema,lahendusvotted
2023-v3g-02,elektrostaatika,elektrilöögi risk,"Kasutage Ohmi seadust ja analüüsige voolu ja takistusi, et leida lubatavad sisetakistuse väärtused."
2023-v3g-03,geomeetriline optika,läätsed ja peeglid,"Kasutage kiirte joonistamist ja optiliste seaduste rakendamist, et leida kujutised."
2023-v3g-04,staatika,laeva tõmbamine,"Kasutage jõudude tasakaalu ja pöörlemise tingimusi, et leida puksiirlaevade vajaliku tõmbejõu suurus."
2023-v3g-05,vedelike mehaanika,sundventilatsioon,"Kasutage ideaalgaasi seadust ja küllastunud aururõhu graafikut, et leida õhuvahetuse kiirus."
2023-v3g-06,vedelike mehaanika,pindpinevus,"Kasuta jõudude tasakaalu, et leida nurk, mille all nõel veepinnale toetub."
2023-v3g-07,dünaamika,orbiidid ja kiirus,"Kasutage gravitatsioonijõu ja ringorbiidi kiirusvõrrandit, et leida kaugus planeedi keskpunktist."
2023-v3g-08,kinemaatika,kuulitõuge,"Kasutage kuuli lennukauguse ja kõrguse seoseid, et leida optimaalne viskenurk ja algkiirus."
2023-v3g-09,elektrostaatika,pinge ja elektriväli,"Kasutage Gaussi teoreemi ja kondensaatori mahtuvuse valemit, et leida elektriväli ja pinge."
2023-v3g-10,varia,murdumine,"Kasutage murdumisseadust ja geomeetrilisi suhteid, et leida kaugus vaataja silmast pallini."
2024-lahg-01,dünaamika,vabalangemine,"Kasutage Archimedese seadust ja tasakaalu jõudude analüüsi, et leida sügavus, kus üleslükkejõud on võrdsustunud raskusjõuga."
2024-lahg-02,dünaamika,gravitatsioon,"Kasuta gravitatsioonijõu ja tsentripetaaljõu võrdlemist, et leida tihedus."
2024-lahg-03,geomeetriline optika,numbriline apertuur,"Kasutage murdumisseadust ja täieliku sisepeegeldumise tingimust, et leida numbriline apertuur NA."
2024-lahg-04,kinemaatika,rongide liikumine,"Kasutage kiirus-aja-suhteid ja pidurdusmaade arvutamist, et leida maksimaalne läbilaskmisvõime."
2024-lahg-05,termodünaamika,soojusülekanne,"Kasutage ideaalgaasi seadust ja soojusülekande valemit, et leida vajaliku energia ja võimsuse väärtused."
2024-lahg-06,geomeetriline optika,vari ja valgus,"Kasutage geomeetrilisi jooniseid ja puutujate omadusi, et leida valgusallika kaugus kera keskpunktist."
2024-lahg-07,magnetism,magnetväli äikesetormis,Kasutage voolutugevuse ja kauguse seost magnetvälja tugevuse arvutamiseks ning rakendage trigonomeetrilisi funktsioone suuna muutuse leidmiseks.
2024-lahg-08,staatika,kaldenurk ja hõõrdetegur,"Kasutame jõuülekande ja hõõrdeteguri tasakaalu analüüsi, et leida maksimaalne kaldenurk."
2024-lahg-09,elektrostaatika,kondensaatorite analüüs,"Kasutage kondensaatorite mahtuvuse ja elektrivälja valemeid, et leida osakese kiirus ja nihe."
2024-lahg-10,dünaamika,õhutakistus,"Kasutage siinusteoreemi ja koosinusteoreemi, et leida suhtelise kiirusjõu komponendid."
2024-v2g-01,termodünaamika,energiatootmine,Kasutage energia tasakaalu ja paneelide tootmisvõimsuse arvutamist.
2024-v2g-02,geomeetriline optika,hajumine,"Kasutage valgustihedust ja sarnaste kolmnurkade omadusi, et leida tajuri näitude suhe."
2024-v2g-03,elektriahelad,takisti arvutamine,"Kasutage Ohmi seadust takisti väärtuse leidmiseks, arvestades LEDide pingelangusid ja voolutugevust."
2024-v2g-04,termodünaamika,ruumpaisumine,"Kasutage tasakaalutingimusi ja ruumpaisumisteguri valemit, et leida kuulikese massi muutus temperatuuriga."
2024-v2g-05,varia,ravimi kontsentratsioon,"Kasutage poolestusaega ja logaritmi, et arvutada aeg kahe tableti võtmise vahel."
2024-v2g-06,dünaamika,mitteelastne põrge,Kasutage energia säilitamise seadust ja analüüsige kuuli liikumist enne ja pärast nööriga kokkupõrget.
2024-v2g-07,vedelike mehaanika,veetase,"Kasutage tasakaalutingimusi ja rõhumisjõu valemit, et leida veetaseme muutus."
2024-v2g-08,termodünaamika,ideaalgaasi seadus,"Kasutage ideaalgaasi seadust, et leida rõhkude vahe ja arvutada lükkejõud."
2024-v2g-09,elektrostaatika,laengu tasakaal,Kasutage voolu tasakaalu võrrandit ja kuuli potentsiaali seost laenguga.
2024-v2g-10,kinemaatika,põrked,"Kasutage energia ja liikumise seadusi, et leida kaugus a, mille korral liikumine on perioodiline."
2024-v3g-01,dünaamika,kelgutamine,Kasutage jõudude tasakaalu ja ühtlase kiirendusega liikumise valemit.
2024-v3g-02,dünaamika,energia jäävuse seadus,"Kasutage energia jäävuse seadust ja Hooke'i seadust, et leida vajaliku venituse kaugus."
2024-v3g-03,elektriahelad,dioodide ühendamine,"Kasutage dioodide ja takistite jadamisi ühendamist, et saavutada soovitud voolutugevus ja pinge."
2024-v3g-04,dünaamika,põrge ja energia,"Kasutage kineetilise energia ja Newtoni seadusi, et leida energia kadu ja mõjuv jõud."
2024-v3g-05,geomeetriline optika,peegeldus,"Kasutage peegelduste omadusi ja geomeetrilisi jooniseid, et leida objekti kaugus peeglist."
2024-v3g-06,termodünaamika,jahtumine,Kasutage soojusülekande seadust ja ruumala ning pindala suhteid koonusekujuliste termoste puhul.
2024-v3g-07,staatika,tasakaaluasend,"Kasutage jõudude ja momentide tasakaalu seadusi, et leida silindri raadius."
2024-v3g-08,geomeetriline optika,läätsed ja kolmnurgad,"Kasutage trigonometrilisi suhteid ja läätsede omadusi, et leida hüpotenuusi pikkus."
2024-v3g-09,gaasid,niiske õhk,Kasutage ideaalse gaasi olekuvõrrandit ja moolide arvtiheduse seoseid.
2024-v3g-10,elektrostaatika,kondensaator vedelikus,"Kasutage kondensaatori mahtuvuse valemit ja tasakaalu tingimust, et leida vedeliku tase kondensaatori sees."
